question,ans1,ans2,ans3,ans4,ans5,ans6,correct_ans,check_radio,topic,domain,explanation
Select the VPC Peering statement below that is NOT true,A. VPC peering supports transitive peering relationships for IPv6 traffic but not IPv4,B. VPC peering can be performed between VPCs in different AWS accounts in the same region,C. TCP connections can be performed between peered VPCs,D. UDP connections can be performed between peered VPCs,,,1,radio,,,Reference: http://docs.aws.amazon.com/AmazonVPC/latest/PeeringGuide/vpc-peering-basics.html#vpcpeering- limitations
Fill in the blanks: One of the basic characteristics of security groups for your VPC is that you ______ .,A. can specify allow rules  but not deny rules,B. can specify deny rules  but not allow rules,C. can specify allow rules as well as deny rules,D. can neither specify allow rules nor deny rules,,,1,radio,,,Reference: http://docs.aws.amazon.com/AmazonVPC/latest/UserGuide/VPC_SecurityGroups.html
When an AWS Config rule is triggered a JSON object known as an AWS Config Event is created. This object contains another JSON string in its _____ parameter which describes the event that triggered the rule.,A. resultToken,B. eventLeftScope,C. invokingEvent,D. configRuleName,,,3,radio,,,Reference: http://docs.aws.amazon.com/config/latest/developerguide/evaluate-config_developrules_ example-events.html
When an AWS Config rule is triggered a JSON object known as an AWS Config Event is created. This object contains a(n) ______ attribute  which is a JSONformatted set of key/value pairs the receiving AWS Lambda function processes as part of its evaluation logic.,A. inputParameters,B. invokingEvent,C. ruleConfiguration,D. mappingTemplate,,,1,radio,,,Reference: http://docs.aws.amazon.com/config/latest/developerguide/evaluate-config_developrules_ example-events.html
You can use the ______ page of the AWS Config console to look up resources that AWS Config has discovered  including deleted resources and resources that are not currently being recorded.,A. snapshot listing,B. configuration history,C. resource inventory,D. resource database,,,3,radio,,,Reference: http://docs.aws.amazon.com/config/latest/developerguide/looking-up-discovered-resources.html Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Advanced-Networking-Specialty Dumps From Exambible https://www.exambible.com/AWS-Certified-Advanced-Networking-Specialty-exam/ (76 Q&As)
Which element of AWS Config can be used to help maintain internal and external compliance controls?,A. Configuration Item,B. Configuration Recorder,C. Configuration Streams,D. Config Rules,,,4,radio,,,Reference: https://aws.amazon.com/config/
AWS Config flags a resource as ______ if a resource violates any conditions of an AWS Config rule that it evaluates on the resource in question.,A. corrupted,B. noncompliant,C. invalid,D. misconfigured,,,2,radio,,,Reference: http://docs.aws.amazon.com/config/latest/developerguide/evaluate-config.html
Each custom AWS Config rule you create must be associated with a(n) AWS _____   which contains the logic that evaluates whether your AWS resources comply with the rule.,A. Lambda function,B. Configuration trigger,C. EC2 instance,D. S3 bucket,,,1,radio,,,Reference: http://docs.aws.amazon.com/config/latest/developerguide/evaluate-config_develop-rules.html
You can use the _____ command of the AWS Config service CLI to see the compliance state of each of your rules.,A. get-compliance-details-by-resource,B. describe-compliance-by-config-rule,C. get-compliance-details-by-config-rule,D. describe-compliance-by-resource,,,2,radio,,,Reference: http://docs.aws.amazon.com/config/latest/developerguide/evaluate-config_view-compliance.html
A user is having data generated randomly based on a certain event. The user wants to upload that data to CloudWatch. It may happen that event may not have data generated for some period due to randomness. Which of the below mentioned options is a recommended option for this case?,A. For the period when there is no data  the user should not send the data at all,B. The user must upload the data to CloudWatch as having no data for some period will cause an error at CloudWatch monitoring,C. For the period when there is no data the user should send the value as 0,D. For the period when there is no data the user should send a blank value,,,3,radio,,,Reference: http://docs.aws.amazon.com/AmazonCloudWatch/latest/DeveloperGuide/publishingMetrics.html
A user is running a batch process on EBS backed EC2 instances. The batch process launches few EC2 instances to process hadoop Map reduce jobs which can run between 50 – 600 minutes or sometimes for even more time. The user wants a configuration that can terminate the instance only when the process is completed. How can the user configure this with CloudWatch? Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Advanced-Networking-Specialty Dumps From Exambible https://www.exambible.com/AWS-Certified-Advanced-Networking-Specialty-exam/ (76 Q&As),A. Configure a job which terminates all instances after 600 minutes,B. It is not possible to terminate instances automatically,C. Set up the CloudWatch with Auto Scaling to terminate all the instances,D. Configure the CloudWatch action to terminate the instance when the CPU utilization falls below 5%,,,4,radio,,,Reference: http://docs.aws.amazon.com/AmazonCloudWatch/latest/DeveloperGuide/UsingAlarmActions.html
...... Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Advanced-Networking-Specialty Dumps From Exambible https://www.exambible.com/AWS-Certified-Advanced-Networking-Specialty-exam/ (76 Q&As) About Exambible Your Partner of IT Exam Found in 1998 Exambible is a company specialized on providing high quality IT exam practice study materials  especially Cisco CCNA  CCDA CCNP  CCIE  Checkpoint CCSE  CompTIA A+  Network+ certification practice exams and so on. We guarantee that the candidates will not only pass any IT exam at the first attempt but also get profound understanding about the certificates they have got. There are so many alike companies in this industry  however  Exambible has its unique advantages that other companies could not achieve. Our Advances * 99.9% Uptime All examinations will be up to date. * 24/7 Quality Support We will provide service round the clock. * 100% Pass Rate Our guarantee that you will pass the exam. * Unique Gurantee If you do not pass the exam at the first time  we will not only arrange FULL REFUND for you  but also provide you another exam of your claim  ABSOLUTELY FREE! Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Advanced-Networking-Specialty Dumps From Exambible https://www.exambible.com/AWS-Certified-Advanced-Networking-Specialty-exam/ (76 Q&As),,,,,,,,check,,,
Select the VPC Peering statement below that is NOT true,A. VPC peering supports transitive peering relationships for IPv6 traffic but not IPv4,B. VPC peering can be performed between VPCs in different AWS accounts in the same region,C. TCP connections can be performed between peered VPCs,D. UDP connections can be performed between peered VPCs,,,1,radio,,,Reference: http://docs.aws.amazon.com/AmazonVPC/latest/PeeringGuide/vpc-peering-basics.html#vpcpeering- limitations
Fill in the blanks: One of the basic characteristics of security groups for your VPC is that you ______ .,A. can specify allow rules  but not deny rules,B. can specify deny rules  but not allow rules,C. can specify allow rules as well as deny rules,D. can neither specify allow rules nor deny rules,,,1,radio,,,Reference: http://docs.aws.amazon.com/AmazonVPC/latest/UserGuide/VPC_SecurityGroups.html
When an AWS Config rule is triggered a JSON object known as an AWS Config Event is created. This object contains another JSON string in its _____ parameter which describes the event that triggered the rule.,A. resultToken,B. eventLeftScope,C. invokingEvent,D. configRuleName,,,3,radio,,,Reference: http://docs.aws.amazon.com/config/latest/developerguide/evaluate-config_developrules_ example-events.html
When an AWS Config rule is triggered a JSON object known as an AWS Config Event is created. This object contains a(n) ______ attribute  which is a JSONformatted set of key/value pairs the receiving AWS Lambda function processes as part of its evaluation logic.,A. inputParameters,B. invokingEvent,C. ruleConfiguration,D. mappingTemplate,,,1,radio,,,Reference: http://docs.aws.amazon.com/config/latest/developerguide/evaluate-config_developrules_ example-events.html
You can use the ______ page of the AWS Config console to look up resources that AWS Config has discovered  including deleted resources and resources that are not currently being recorded.,A. snapshot listing,B. configuration history,C. resource inventory,D. resource database,,,3,radio,,,Reference: http://docs.aws.amazon.com/config/latest/developerguide/looking-up-discovered-resources.html Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Advanced-Networking-Specialty Dumps From Exambible https://www.exambible.com/AWS-Certified-Advanced-Networking-Specialty-exam/ (76 Q&As)
Which element of AWS Config can be used to help maintain internal and external compliance controls?,A. Configuration Item,B. Configuration Recorder,C. Configuration Streams,D. Config Rules,,,4,radio,,,Reference: https://aws.amazon.com/config/
AWS Config flags a resource as ______ if a resource violates any conditions of an AWS Config rule that it evaluates on the resource in question.,A. corrupted,B. noncompliant,C. invalid,D. misconfigured,,,2,radio,,,Reference: http://docs.aws.amazon.com/config/latest/developerguide/evaluate-config.html
Each custom AWS Config rule you create must be associated with a(n) AWS _____   which contains the logic that evaluates whether your AWS resources comply with the rule.,A. Lambda function,B. Configuration trigger,C. EC2 instance,D. S3 bucket,,,1,radio,,,Reference: http://docs.aws.amazon.com/config/latest/developerguide/evaluate-config_develop-rules.html
You can use the _____ command of the AWS Config service CLI to see the compliance state of each of your rules.,A. get-compliance-details-by-resource,B. describe-compliance-by-config-rule,C. get-compliance-details-by-config-rule,D. describe-compliance-by-resource,,,2,radio,,,Reference: http://docs.aws.amazon.com/config/latest/developerguide/evaluate-config_view-compliance.html
A user is having data generated randomly based on a certain event. The user wants to upload that data to CloudWatch. It may happen that event may not have data generated for some period due to randomness. Which of the below mentioned options is a recommended option for this case?,A. For the period when there is no data  the user should not send the data at all,B. The user must upload the data to CloudWatch as having no data for some period will cause an error at CloudWatch monitoring,C. For the period when there is no data the user should send the value as 0,D. For the period when there is no data the user should send a blank value,,,3,radio,,,Reference: http://docs.aws.amazon.com/AmazonCloudWatch/latest/DeveloperGuide/publishingMetrics.html
A user is running a batch process on EBS backed EC2 instances. The batch process launches few EC2 instances to process hadoop Map reduce jobs which can run between 50 – 600 minutes or sometimes for even more time. The user wants a configuration that can terminate the instance only when the process is completed. How can the user configure this with CloudWatch? Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Advanced-Networking-Specialty Dumps From Exambible https://www.exambible.com/AWS-Certified-Advanced-Networking-Specialty-exam/ (76 Q&As),A. Configure a job which terminates all instances after 600 minutes,B. It is not possible to terminate instances automatically,C. Set up the CloudWatch with Auto Scaling to terminate all the instances,D. Configure the CloudWatch action to terminate the instance when the CPU utilization falls below 5%,,,4,radio,,,Reference: http://docs.aws.amazon.com/AmazonCloudWatch/latest/DeveloperGuide/UsingAlarmActions.html
