question,ans1,ans2,ans3,ans4,ans5,ans6,correct_ans,check_radio,topic,domain,explanation
,A. Set the max_connections parameter to 16 000 in the instance-level parameter group.,B. Modify the client connection timeout to 300 seconds.,C. Create an Amazon RDS Proxy database proxy and update client connections to point to the proxy endpoint.,D. Enable the query cache at the instance level.,,,3,radio,,,Amazon RDS Proxy allows applications to pool and share connections established with the database improving database efficiency and application scalability. With RDS Proxy  failover times for Aurora and RDS databases are reduced by up to 66% and database credentials  authentication  and access can be managed through integration with AWS Secrets Manager and AWS Identity and Access Management (IAM). https://aws.amazon.com/rds/proxy/
A corporation intends to migrate a 500-GB Oracle database to Amazon Aurora PostgreSQL utilizing the AWS Schema Conversion Tool (AWS SCT) and AWS Data Management Service (AWS DMS). The database does not have any stored procedures  but does contain several huge or partitioned tables. Because the program is vital to the company  it is preferable to migrate with little downtime. Which measures should a database professional perform in combination to expedite the transfer process? (Select three.),A. Use the AWS SCT data extraction agent to migrate the schema from Oracle to Aurora PostgreSQL.,B. For the large tables  change the setting for the maximum number of tables to load in parallel and perform a full load using AWS DMS.,C. For the large tables  create a table settings rule with a parallel load option in AWS DMS  then perform a full load using DMS.,D. Use AWS DMS to set up change data capture (CDC) for continuous replication until the cutover date.,E. Use AWS SCT to convert the schema from Oracle to Aurora PostgreSQL.,F. Use AWS DMS to convert the schema from Oracle to Aurora PostgreSQL and for continuous replication.,3,radio,,,
A financial services organization employs an Amazon Aurora PostgreSQL DB cluster to host an application on AWS. No log files detailing database administrator activity were discovered during a recent examination. A database professional must suggest a solution that enables access to the database and maintains activity logs. The solution should be simple to implement and have a negligible effect on performance. Which database specialist solution should be recommended?,A. Enable Aurora Database Activity Streams on the database in synchronous mod,B. Connect the Amazon Kinesis data stream to Kinesis Data Firehos,C. Set the Kinesis Data Firehose destination to an Amazon S3 bucket.,D. Create an AWS CloudTrail trail in the Region where the database run,E. Associate the database activity logs with the trail.,F. Enable Aurora Database Activity Streams on the database in asynchronous mod G. Connect the Amazon Kinesis data stream to Kinesis Data Firehos H. Set the Firehose destination to an Amazon S3 bucket. I. Allow connections to the DB cluster through a bastion host onl J. Restrict database access to the bastion host and application server K. Push the bastion host logs to Amazon CloudWatch Logs using the CloudWatch Logs agent.,3,radio,,,https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/DBActivityStreams.Overview.html
A user has a non-relational key-value database. The user is looking for a fully managed AWS service that will offload the administrative burdens of operating and scaling distributed databases. The solution must be cost- effective and able to handle unpredictable application traffic. What should a Database Specialist recommend for this user?,A. Create an Amazon DynamoDB table with provisioned capacity mode,B. Create an Amazon DocumentDB cluster,C. Create an Amazon DynamoDB table with on-demand capacity mode,D. Create an Amazon Aurora Serverless DB cluster,,,3,radio,,,
A company has an ecommerce web application with an Amazon RDS for MySQL DB instance. The marketing team has noticed some unexpected updates to the product and pricing information on the website  which is impacting sales targets. The marketing team wants a database specialist to audit future database activity to help identify how and when the changes are being made. What should the database specialist do to meet these requirements? (Choose two.),A. Create an RDS event subscription to the audit event type.,B. Enable auditing of CONNECT and QUERY_DML events.,C. SSH to the DB instance and review the database logs.,D. Publish the database logs to Amazon CloudWatch Logs.,E. Enable Enhanced Monitoring on the DB instance.,,2,radio,,,https://aws.amazon.com/blogs/database/configuring-an-audit-log-to-capture-database-activities-for-amazon-rds
Recently  a financial institution created a portfolio management service. The application's backend is powered by Amazon Aurora  which supports MySQL. The firm demands a response time of five minutes and a response time of five minutes. A database professional must create a disaster recovery system that is both efficient and has a low replication latency. How should the database professional tackle these requirements?,A. Configure AWS Database Migration Service (AWS DMS) and create a replica in a different AWS Region.,B. Configure an Amazon Aurora global database and add a different AWS Region.,C. Configure a binlog and create a replica in a different AWS Region.,D. Configure a cross-Region read replica.,,,2,radio,,,https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/aurora-global-database-disaster-recovery.ht https://aws.amazon.com/blogs/database/how-tochoose-the-best-disaster-recovery-option-for-your-amazon-auro https://aws.amazon.com/about-aws/whats-new/2019/11/aurora-supports-in-place-conversion-to-global-database/
A Database Specialist is performing a proof of concept with Amazon Aurora using a small instance to confirm a simple database behavior. When loading a large dataset and creating the index  the Database Specialist encounters the following error message from Aurora: ERROR: cloud not write block 7507718 of temporary file: No space left on device What is the cause of this error and what should the Database Specialist do to resolve this issue?,A. The scaling of Aurora storage cannot catch up with the data loadin,B. The Database Specialist needs to modify the workload to load the data slowly.,C. The scaling of Aurora storage cannot catch up with the data loadin,D. The Database Specialist needs to enable Aurora storage scaling.,E. The local storage used to store temporary tables is ful,F. The Database Specialist needs to scale up the instance. G. The local storage used to store temporary tables is ful H. The Database Specialist needs to enable localstorage scaling.,3,radio,,,
A financial company wants to store sensitive user data in an Amazon Aurora PostgreSQL DB cluster. The database will be accessed by multiple applications across the company. The company has mandated that all communications to the database be encrypted and the server identity must be validated. Any non-SSLbased connections should be disallowed access to the database. Which solution addresses these requirements?,A. Set the rds.force_ssl=0 parameter in DB parameter group,B. Download and use the Amazon RDS certificate bundle and configure the PostgreSQL connection string with sslmode=allow.,C. Set the rds.force_ssl=1 parameter in DB parameter group,D. Download and use the Amazon RDS certificate bundle and configure the PostgreSQL connection string with sslmode=disable.,E. Set the rds.force_ssl=0 parameter in DB parameter group,F. Download and use the Amazon RDS certificate bundle and configure the PostgreSQL connection string with sslmode=verify-ca. G. Set the rds.force_ssl=1 parameter in DB parameter group H. Download and use the Amazon RDS certificate bundle and configure the PostgreSQL connection string with sslmode=verify-full.,4,radio,,,PostgreSQL: sslrootcert=rds-cert.pem sslmode=[verify-ca | verify-full]
A business that specializes in internet advertising is developing an application that will show adverts to its customers. The program stores data in an Amazon DynamoDB database. Additionally  the application caches its reads using a DynamoDB Accelerator (DAX) cluster. The majority of reads come via the GetItem and BatchGetItem queries. The application does not need consistency of readings. The application cache does not behave as intended after deployment. Specific extremely consistent queries to the DAX cluster are responding in several milliseconds rather than microseconds. How can the business optimize cache behavior in order to boost application performance?,A. Increase the size of the DAX cluster.,B. Configure DAX to be an item cache with no query cache,C. Use eventually consistent reads instead of strongly consistent reads.,D. Create a new DAX cluster with a higher TTL for the item cache.,,,3,radio,,,
A company has an AWS CloudFormation template written in JSON that is used to launch new Amazon RDS for MySQL DB instances. The security team has asked a database specialist to ensure that the master password is automatically rotated every 30 days for all new DB instances that are launched using the template. What is the MOST operationally efficient solution to meet these requirements?,A. Save the password in an Amazon S3 objec,B. Encrypt the S3 object with an AWS KMS ke,C. Set the KMS key to be rotated every 30 days by setting the EnableKeyRotation property to tru,D. Use a CloudFormation custom resource to read the S3 object to extract the password.,E. Create an AWS Lambda function to rotate the secre,F. Modify the CloudFormation template to add an AWS::SecretsManager::RotationSchedule resourc G. Configure the RotationLambdaARN value and  for the RotationRules property  set the AutomaticallyAfterDays parameter to 30. H. Modify the CloudFormation template to use the AWS KMS key as the database passwor I. Configure an Amazon EventBridge rule to invoke the KMS API to rotate the key every 30 days by setting the ScheduleExpression parameter to ***/30***. J. Integrate the Amazon RDS for MySQL DB instances with AWS IAM and centrally manage the master database user password.,2,radio,,,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/aws-resource-secretsmanager-rotationsche
A company is using 5 TB Amazon RDS DB instances and needs to maintain 5 years of monthly database backups for compliance purposes. A Database Administrator must provide Auditors with data within 24 hours. Which solution will meet these requirements and is the MOST operationally efficient?,A. Create an AWS Lambda function to run on the first day of every month to take a manual RDS snapshot.Move the snapshot to the company’s Amazon S3 bucket.,B. Create an AWS Lambda function to run on the first day of every month to take a manual RDS snapshot.,C. Create an RDS snapshot schedule from the AWS Management Console to take a snapshot every 30days.,D. Create an AWS Lambda function to run on the first day of every month to create an automated RDS snapshot.,,,1,radio,,,Unlike automated backups  manual snapshots aren't subject to the backup retention period. Snapshots don't expire. For very long-term backups of MariaDB MySQL  and PostgreSQL data  we recommend exporting snapshot data to Amazon S3. If the major version of your DB engine is no longer supported  you can't restore to that version from a snapshot.
