question,ans1,ans2,ans3,ans4,ans5,ans6,correct_ans,check_radio,topic,domain,explanation
,A. None  Simple Storage Service objects are limited to 5 GB,B. Use the multi-part upload API for this object,C. Use the large object upload API for this object,D. Contact support to increase your object size limit,E. Upload to a different region,,2,radio,,,https://docs.aws.amazon.com/AmazonS3/latest/dev/mpuoverview.html
- (Exam Topic 1) An e-commerce site allows returning users to log in to display customized web pages. The workflow is shown in the image below: An application is running on EC2 instances. Amazon RDS is used for the database that stores user accounts and preferences. The website freezes or is slow to load while waiting for the login step to complete. The remaining components of the site are well-optimized. Which of the following techniques will resolve this issue? (Select Two.),A. Implement the user login page as an asynchronous Lambda function.,B. Use Amazon ElastiCache for MemCached to cache user data.,C. Use Amazon Application Load Balancer to load balance the traffic to the website.,D. Call the database asynchronously so the code can continue executing.,E. Batch login requests from hundreds of users together as a single read request to the database.,,2,radio,,,https://docs.aws.amazon.com/sdk-for-javascript/v2/developer-guide/making-asynchronous-calls.html
- (Exam Topic 1) A startup s photo-sharing site is deployed in a VPC. An ELB distributes web traffic across two subnets. ELB session stickiness is configured to use the AWSgenerated session cookie  with a session TTL of 5 minutes. The webserver Auto Scaling Group is configured as: min-size=4  max-size=4. The startups preparing for a public launch  by running load-testing software installed on a single EC2 instance running in us-west-2a. After 60 minutes of loadtesting  the webserver logs show: Which recommendations can help ensure load-testing HTTP requests are evenly distributed across the four webservers? Choose 2 answers,C. An ELB distributes web traffic across two subnets. ELB session stickiness is configured to use the AWSgenerated session cookie  with a session TTL of 5 minutes. The webserver Auto Scaling Group is configured as: min-size=4  max-size=4. The startups preparing for a public launch  by running load-testing software installed on a single EC2 instance running in us-west-2a. After 60 minutes of loadtesting  the webserver logs show: Which recommendations can help ensure load-testing HTTP requests are evenly distributed across the four webservers? Choose 2 answers,A. Launch and run the load-tester EC2 instance from us-east-1 instead.,B. Re-configure the load-testing software to re-resolve DNS for each web request.,C. Use a 3rd-party load-testing service which offers globally-distributed test clients.,D. Configure ELB and Auto Scaling to distribute across us-west-2a and us-west-2c.,E. Configure ELB session stickiness to use the app-specific session cookie.,3,radio,,,
Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Developer-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-Developer-Associate-exam/ (127 Q&As) - (Exam Topic 1) A Developer is writing a Linux-based application to run on AWS Elastic Beanstalk. Application requirements state that the application must maintain full capacity during updates while minimizing cost. Which type of Elastic Beanstalk deployment policy should the Developer specify for the environment?,A. Immutable,B. Rolling,C. All at Once,D. Rolling with additional batch,,,4,radio,,,https://docs.aws.amazon.com/elasticbeanstalk/latest/dg/using-features.rolling-version-deploy.html
- (Exam Topic 1) How can you secure data at rest on an EBS volume?,A. Attach the volume to an instance using EC2's SSL interface.,B. Write the data randomly instead of sequentially.,C. Use an encrypted file system on top of the BBS volume.,D. Encrypt the volume using the S3 server-side encryption service.,E. Create an IAM policy that restricts read and write access to the volume.,,3,radio,,,
- (Exam Topic 1) After launching an instance that you intend to serve as a NAT (Network Address Translation) device in a public subnet you modify your route tables to have the NAT device be the target of internet bound traffic of your private subnet. When you try and make an outbound connection to the Internet from an instance in the private subnet  you are not successful. Which of the following steps could resolve the issue?,A. Attaching a second Elastic Network interface (ENI) to the NAT instance  and placing it in the private subnet,B. Attaching a second Elastic Network Interface (ENI) to the instance in the private subnet  and placing it in the public subnet,C. Disabling the Source/Destination Check attribute on the NAT instance,D. Attaching an Elastic IP address to the instance in the private subnet,,,3,radio,,,https://docs.aws.amazon.com/vpc/latest/userguide/VPC_NAT_Instance.html#NATInstance
- (Exam Topic 1) Which of the following platforms are supported by Elastic Beanstalk? Choose 2 answers,A. Apache Tomcat,B. .NET,C. IBM Websphere,D. Oracle JBoss,E. Jetty,,1,radio,,,https://docs.aws.amazon.com/elasticbeanstalk/latest/platforms/platforms-supported.html
- (Exam Topic 1) company needs a fully-managed source control service that will work in AWS. The service must ensure that revision control synchronizes multiple distributed repositories by exchanging sets of changes peer-to-peer. All users need to work productively even when not connected to a network. Which source control service should be used?,A. Subversion,B. AWS CodeBuild,C. AWS CodeCommit,D. AWS CodeStar,,,3,radio,,,
- (Exam Topic 1) A Developer has published an update to an application that is served to a global user base using Amazon CloudFront. After deploying the application  users are not able to see the updated changes. How can the Developer resolve this issue? Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Developer-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-Developer-Associate-exam/ (127 Q&As),A. Remove the origin from the CloudFront configuration and add it again.,B. Disable forwarding of query strings and request headers from the CloudFront distribution configuration.,C. Invalidate all the application objects from the edge caches.,D. Disable the CloudFront distribution and enable it again to update all the edge locations.,,,3,radio,,,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/Invalidation.html
- (Exam Topic 1) A Developer has created a Lambda function and is finding that the function is taking longer to complete than expected. After some debugging  the Developer has discovered that increasing compute capacity would improve performance. How can the Developer increase the Lambda compute resources?,A. Run on a larger instance size with more compute capacity.,B. Increase the maximum execution time.,C. Specify a larger compute capacity when calling the Lambda function.,D. Increase the allocated memory for the Lambda function.,,,4,radio,,,
