question,ans1,ans2,ans3,ans4,ans5,ans6,correct_ans,check_radio,topic,domain,explanation
,A. Activate the createdBy tag in the account.,B. Analyze the usage with Amazon CloudWatch dashboards.,C. Analyze the usage with Cost Explorer.,D. Configure AWS Trusted Advisor to track resource usage.,E. Create a billing alarm in AWS Budgets.,,1,radio,,,
- (Exam Topic 1) An organization with a large IT department has decided to migrate to AWS With different job functions in the IT department it is not desirable to give all users access to all AWS resources Currently the organization handles access via LDAP group membership What is the BEST method to allow access using current LDAP credentials?,A. Create an AWS Directory Service Simple AD Replicate the on-premises LDAP directory to Simple AD,B. Create a Lambda function to read LDAP groups and automate the creation of IAM users,C. Use AWS CloudFormation to create IAM roles Deploy Direct Connect to allow access to the on-premises LDAP server,D. Federate the LDAP directory with IAM using SAML Create different IAM roles to correspond to different LDAP groups to limit permissions,,,4,radio,,,
- (Exam Topic 1) A team of On-call engineers frequently needs to connect to Amazon EC2 Instances In a private subnet to troubleshoot and run commands. The Instances use either the latest AWS-provided Windows Amazon Machine Images (AMIs) or Amazon Linux AMIs. The team has an existing IAM role for authorization. A SysOps administrator must provide the team with access to the Instances by granting IAM permissions to this Which solution will meet this requirement?,A. Add a statement to the IAM role policy to allow the ssm:StartSession action on the instance,B. Instruct the team to use AWS Systems Manager Session Manager to connect to the Instances by using the assumed IAM role.,C. Associate an Elastic IP address and a security group with each instanc,D. Add the engineers' IP addresses to the security group inbound rule,E. Add a statement to the IAM role policy to allow the ec2:AuthoflzeSecurityGroupIngress action so that the team can connect to the Instances.,F. Create a bastion host with an EC2 Instance  and associate the bastion host with the VP G. Add a statement to the IAM role policy to allow the ec2:CreateVpnConnection action on the bastion hos H. Instruct the team to use the bastion host endpoint to connect to the instances.D Create an internet-facing Network Load Balance I. Use two listener J. Forward port 22 to a target group of Linux instance K. Forward port 3389 to a target group of Windows Instance L. Add a statement to the IAM role policy to allow the ec2:CreateRoute action so that the team can connect to the Instances.,1,radio,,,
- (Exam Topic 1) A company wants to create an automated solution for all accounts managed by AWS Organizations to detect any worry groups that urn 0.0.0.0/0 as the source address for inbound traffic. The company also wants to automatically remediate any noncompliant security groups by restricting access to a specific CIDR block corresponds with the company's intranet.,A. Create an AWS Config rule to detect noncompliant security group,B. Set up automatic remediation to change the 0.0.0.0/0 source address to the approved CIDK block.,C. Create an IAM policy to deny the creation of security groups that have 0.0.0.0/0 as the source address Attach this 1AM policy to every user in the company.,D. Create an AWS Lambda function to inspect now and existing security groups check for a noncompliant 0.0.0.0A) source address and change the source address to the approved CIDR block.,E. Create a service control policy (SCP) for the organizational unit (OU) to deny the creation of security groups that have the 0.0.0.0/0 source addres,F. Set up automatic remediation to change Vie 0.0.0.0/0 source address to the approved CIDR block.,1,radio,,,
- (Exam Topic 1) A company's customers are reporting increased latency while accessing static web content from Amazon S3 A SysOps administrator observed a very high rate of read operations on a particular S3 bucket What will minimize latency by reducing load on the S3 bucket?,A. Migrate the S3 bucket to a region that is closer to end users' geographic locations,B. Use cross-region replication to replicate all of the data to another region,C. Create an Amazon CloudFront distribution with the S3 bucket as the origin.,D. Use Amazon ElastiCache to cache data being served from Amazon S3 Your Partner of IT Exam visit - https://www.exambible.com gWe recommend you to try the PREMIUM AWS-Certified-SysOps-Administrator-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-SysOps-Administrator-Associate-exam/ (305 Q&As),,,3,radio,,,
- (Exam Topic 1) A SysOps administrator created an AWS Cloud Formation template that provisions Amazon EC2 instances  an Elastic Load Balancer (ELB)  and an Amazon RDS DB instance. During stack creation  the creation of the EC2 instances and the creation of the ELB are successful. However  the creation of the DB instance fails. What is the default behavior of CloudFormation in this scenario?,A. CloudFormation will roll back the stack and delete the stack.,B. CloudFormation will roll back the stack but will not delete the stack.,C. CloudFormation will prompt the user to roll back the stack or continue.,D. CloudFormation will successfully complete the stack but will report a failed status for the DB instance.,,,3,radio,,,
- (Exam Topic 1) A SysOps administrator is deploying an application on 10 Amazon EC2 instances. The application must be highly available. The instances must be placed on distinct underlying hardware. What should the SysOps administrator do to meet these requirements?,A. Launch the instances into a cluster placement group in a single AWS Region.,B. Launch the instances into a partition placement group in multiple AWS Regions.,C. Launch the instances into a spread placement group in multiple AWS Regions.,D. Launch the instances into a spread placement group in single AWS Region,,,4,radio,,,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/placement-groups.html
- (Exam Topic 1) A company creates a new member account by using AWS Organizations. A SysOps administrator needs to add AWS Business Support to the new account Which combination of steps must the SysOps administrator take to meet this requirement? (Select TWO.),A. Sign in to the new account by using 1AM credential,B. Change the support plan.,C. Sign in to the new account by using root user credential,D. Change the support plan.,E. Use the AWS Support API to change the support plan.,F. Reset the password of the account root user. G. Create an IAM user that has administrator privileges in the new account.,2,radio,,,
A SysOps administrator needs to design a high-traffic static website. The website must be highly available and must provide the lowest possible latency to users across the globe. Which solution will meet these requirements?,Create an Amazon S3 bucket and upload the website content to the S3 bucket.,Create an Amazon CloudFront distribution in each AWS Region and set the S3 bucket as the origin.,Use Amazon Route 53 to create a DNS record that uses a geolocation routing policy to route traffic to the correct CloudFront distribution based on where the request originates.,Create an Amazon CloudFront distribution and set the S3 bucket as the origin.,Use Amazon Route 53 to create an alias record that points to the CloudFront distribution.,Create an Application Load Balancer (ALB) and a target group.,2,radio,,,
- (Exam Topic 1) A company has a critical serverless application that uses multiple AWS Lambda functions. Each Lambda function generates 1 GB of log data daily in tts own Amazon CloudWatch Logs log group. The company's security team asks for a count of application errors  grouped by type  across all of the log groups. What should a SysOps administrator do to meet this requirement?,A. Perform a CloudWatch Logs Insights query that uses the stats command and count function.,B. Perform a CloudWatch Logs search that uses the groupby keyword and count function. Your Partner of IT Exam visit - https://www.exambible.com gWe recommend you to try the PREMIUM AWS-Certified-SysOps-Administrator-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-SysOps-Administrator-Associate-exam/ (305 Q&As),C. Perform an Amazon Athena query that uses the SELECT and GROUP BY keywords.,D. Perform an Amazon RDS query that uses the SELECT and GROUP BY keywords.,,,1,radio,,,
- (Exam Topic 1) A company is managing many accounts by using a single organization in AWS Organizations. The organization has all features enabled. The company wants to turn on AWS Config in all the accounts of the organization and in all AWS Regions. What should a Sysops administrator do to meet these requirements in the MOST operationally efficient way?,A. Use AVVS CloudFormation StackSets to deploy stack instances that turn on AWS Config in all accounts and in all Regions.,B. Use AWS CloudFormation StackSets to deploy stack policies that turn on AWS Config in all accounts and in all Regions.,C. Use service control policies (SCPs) to configure AWS Config in all accounts and in all Regions.,D. Create a script that uses the AWS CLI to turn on AWS Config in all accounts in the organizatio,E. Run the script from the organization's management account.,,3,radio,,,
- (Exam Topic 1) A SysOps administrator noticed that a large number of Elastic IP addresses are being created on the company's AWS account  but they are not being associated with Amazon EC2 instances  and are incurring Elastic IP address charges in the monthly bill. How can the administrator identify who is creating the Elastic IP addresses?,A. Attach a cost-allocation tag to each requested Elastic IP address with the IAM user name of the developer who creates it.,B. Query AWS CloudTrail logs by using Amazon Athena to search for Elastic IP address events.,C. Create a CloudWatch alarm on the ElPCreated metric and send an Amazon SNS notification when the alarm triggers.,D. Use Amazon Inspector to get a report of all Elastic IP addresses created in the last 30 days.,,,2,radio,,,
- (Exam Topic 1) A company needs to restrict access to an Amazon S3 bucket to Amazon EC2 instances in a VPC only. All traffic must be over the AWS private network. What actions should the SysOps administrator take to meet these requirements?,A. Create a VPC endpoint for the S3 bucket  and create an IAM policy that conditionally limits all S3 actions on the bucket to the VPC endpoint as the source.,B. Create a VPC endpoint for the S3 bucket  and create an S3 bucket policy that conditionally limits all S3 actions on the bucket to the VPC endpoint as the source.,C. Create a service-linked role for Amazon EC2 that allows the EC2 instances to interact directly with Amazon S3  and attach an IAM policy to the role that allows the EC2 instances full access to the S3 bucket.,D. Create a NAT gateway in the VPC  and modify the VPC route table to route all traffic destined for Amazon S3 through the NAT gateway.,,,2,radio,,,While IAM policy (letter A) also can be used  it does not enforce everyone. The only option that enforces everyone is policy configured directly in the bucket S3.
- (Exam Topic 1) A company migrated an I/O intensive application to an Amazon EC2 general purpose instance. The EC2 instance has a single General Purpose SSD Amazon Elastic Block Store (Amazon EBS) volume attached. Application users report that certain actions that require intensive reading and writing to the disk are taking much longer than normal or are failing completely. After reviewing the performance metrics of the EBS volume  a SysOps administrator notices that the VolumeQueueLength metric is consistently high during the same times in which the users are reporting issues. The SysOps administrator needs to resolve this problem to restore full performance to the application. Which action will meet these requirements?,A. Modify the instance type to be storage optimized.,B. Modify the volume properties by deselecting Auto-Enable Volume 10.,C. Modify the volume properties to increase the IOPS.,D. Modify the instance to enable enhanced networking.,,,3,radio,,,
- (Exam Topic 1) A company's SysOps administrator deploys a public Network Load Balancer (NLB) in front of the company's web application. The web application does not use any Elastic IP addresses. Users must access the web application by using the company's domain name. The SysOps administrator needs to configure Amazon Route 53 to route traffic to the NLB. Which solution will meet these requirements MOST cost-effectively?,B. Which solution will meet these requirements MOST cost-effectively?,A. Create a Route 53 AAAA record for the NL,B.,B. Create a Route 53 alias record for the NL,B.,C. Create a Route 53 CAA record for the NL,B.,D. Create a Route 53 CNAME record for the NL,B.,2,radio
